Nombre;Cedula;Codigo_Empleado;Direccion;Telefono;Jefe_inmediato;cargo
Marita Norcop;743-47-5488;5;6637 Hallows Alley;986-551-1301;1;Social Worker
Ashlee Reaveley;286-85-6004;6;781 4th Circle;923-971-4312;1;Actuary
Timmi Pharrow;707-48-2713;7;2 American Point;550-502-9968;1;Administrative Assistant III
Merla Goodright;563-53-6019;8;21587 Northview Plaza;916-329-2212;1;Payment Adjustment Coordinator
Feliza Honywill;727-27-7643;9;4 Nelson Drive;299-714-7049;1;Web Designer II
Mina Duckett;462-40-8403;10;06346 Canary Center;348-508-4361;1;Internal Auditor
Burton Pietrowski;534-61-7927;11;10967 Hanson Terrace;665-513-0551;1;Office Assistant III
Jannel Tadlow;713-20-1759;12;886 Kennedy Court;826-516-7915;1;Speech Pathologist
Lin Hirschmann;128-90-3400;13;1945 Longview Trail;217-100-1667;1;Recruiting Manager
Evy Mandrake;658-79-4812;14;7 Browning Way;806-172-4440;1;Senior Sales Associate
Leonhard Ripsher;510-84-2661;15;060 Hoepker Parkway;938-684-7258;1;Quality Control Specialist
Inger Bugs;469-28-0130;16;9682 Hayes Parkway;893-322-0585;1;Assistant Media Planner
Aubrey Gersam;713-21-0796;17;04 Longview Point;207-942-0746;1;Junior Executive
Esma Clutheram;649-26-9430;18;6528 Reinke Crossing;508-685-2546;1;Pharmacist
Shayna Kleinstein;611-93-7261;19;0 Ryan Circle;275-267-6969;1;Software Test Engineer IV
Gilda Brookton;744-62-3502;20;5665 Nevada Junction;996-854-3394;1;Analog Circuit Design manager
Scotty Tutsell;207-63-0114;21;55281 Garrison Lane;352-796-0677;1;Junior Executive
Nessy Skynner;278-11-9646;22;61875 Fisk Way;361-878-7203;1;Community Outreach Specialist
Trstram Osgardby;287-46-0520;23;8 Moulton Center;277-969-5004;1;Mecanico
Annice Alishoner;101-73-3287;24;483 Loftsgordon Place;612-285-1842;1;Mecanico
Genna Greenleaf;503-42-8005;25;95794 Prairieview Parkway;763-691-6839;1;Mecanico
Tine Beggi;234-97-6768;26;0 Linden Lane;974-366-1360;1;Mecanico
Sonnie Course;533-93-5785;27;76 Rockefeller Circle;302-814-4625;1;Mecanico
Lotty Allman;855-19-2225;28;5026 High Crossing Plaza;599-331-1840;1;Mecanico
Bradan Gilbride;734-90-7181;29;1 American Point;141-705-4133;1;Mecanico
Wolfy Aherne;147-55-4397;30;66 Graedel Avenue;934-667-8783;1;Mecanico
Diana Lewis;580-37-1877;31;77 Alpine Avenue;844-663-3499;1;Mecanico
Haskell Cordoba;893-17-3939;32;1131 Lillian Lane;632-365-3041;1;Mecanico
Alis Jiroutek;842-10-5662;33;95460 Manufacturers Court;174-604-3828;1;Mecanico
Arleta Earnshaw;293-78-6958;34;1 Dunning Crossing;474-282-7003;1;Human Resources Manager
Fidelia Formoy;897-08-8371;35;174 Union Point;764-668-0831;1;Engineer I
Letitia Jantet;128-31-3179;36;9650 Sachs Street;655-976-4874;1;Executive Secretary
Madelene Gofford;188-71-6550;37;6996 Loomis Point;174-272-6990;1;Clinical Specialist
Stanwood Simms;427-97-8844;38;440 Riverside Crossing;779-438-5103;1;Geological Engineer
Hagan Scates;585-22-4174;39;318 Dawn Parkway;806-948-3143;1;Environmental Specialist
Micheil MacKill;439-16-9146;40;87911 Shelley Circle;463-824-4019;1;Information Systems Manager
Stephannie Pammenter;716-36-8009;41;5105 Tennessee Court;126-312-6781;1;Computer Systems Analyst II
Donnamarie Crose;462-07-1129;42;0581 Colorado Street;917-651-0716;1;Geologist III
Jillayne McAlinden;656-87-1427;43;8 Cascade Avenue;898-376-0705;1;Engineer IV
Carmela Sambals;747-77-3070;44;3742 Tony Court;135-188-9013;1;Chemical Engineer
Vanna Spleving;594-96-5457;45;60555 Forest Crossing;645-836-9345;1;Automation Specialist II
Keith Sweeny;508-35-5486;46;900 Talmadge Lane;335-414-9133;1;Automation Specialist III
Steffane Winmill;711-79-3029;47;9 Bunker Hill Place;583-511-5571;1;VP Quality Control
Jana Lepope;344-98-6022;48;3 Valley Edge Pass;702-934-2627;1;Chief Design Engineer
Adrea Padell;748-04-5580;49;30 Bashford Terrace;923-620-7194;1;Geologist IV
Bebe Lytle;595-02-9419;50;01 Hazelcrest Trail;305-763-9229;1;Registered Nurse
Link Mold;537-62-9771;51;50277 Comanche Road;704-969-3456;1;Business Systems Development Analyst
Philip Van Bruggen;410-97-0564;52;625 Charing Cross Street;942-793-9119;1;Cost Accountant
Anna-diane Tranckle;877-26-5227;53;27936 Havey Lane;810-269-3650;1;Information Systems Manager
Sherwynd Petri;165-99-9550;54;10 Anhalt Way;518-106-6572;1;Human Resources Assistant III
